waktu,username,teks_bersih,kategori_isu,urgensi,sentimen,lokasi_insiden
18h,@LivePhk98733,PHK Channel live ทำดีมากลูก,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
18h,@LivePhk98733,PHK Channel live มีคนแอบเนียน 1.2K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@ibvnv666,"whocares? Wkwkwkwk betul, lain cerita pas udh nikah trs si laki kena dan bru mulai lg dr awal di gaji 5jt.
Kalo dr sebelum n sesudah nikah mahh.. Wahh mantep bener itu mental si laki phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@LivePhk98733,PHK Channel live,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@LivePhk98733,PHK Channel live กอดๆ 4.4K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@ZitaConan,Zita Conan Ketawa sekarang tp jejak digitalmu tersimpan dek. di masa depan. Ga ada perusahaan yg mau Nerima psikopat kek elu 2.3K Susah cari kerja,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@Lostid112,mosaax Il faut aussi admettre qu'une grande partie des supporters n'ont pas la même niac que les ui ou . La différence est là. Malheureusement le standard a perdu de sa valeur depuis... Chacun met un amour differn phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@LivePhk98733,PHK Channel live เสร็จแล้วกำลังไปรวมพลนะจ๊ะ 1.3K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@yappingfess,"YAPPINGFESS yap! Abis kena sepihak di hari libur, pasti bakalan dapat yang lebih baik kan? PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@haevocado,عنغت وكنت Yg mah warga indon doang kaliiii wkwkwk susah cari kerja,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@TJRagunan,"Transjakarta Ragunan 2. Si Gabriel Omar yang sebagai pramudi koridor 8 yang viral waktu itu, selain di , dia juga diblacklist dari sananya (diblacklist anjg, marah dah dianya) 
3. Ini HM aja sih, semua pramudi BMP itu wajib kerja, kalo gak jalan ya gak dibayar dari operatornya PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@LivePhk98733,PHK Channel live เบ่งกล้ามโชว์,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@DiniMar75926462,"Dini Mardiani Nunggu pesangon+bpjs TK cair tanpa kepastian yang jelas.
Sudah di detik sangat kecewa sekali sama PT. HILLCON JAYA SAKTI #tambang",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@LivePhk98733,PHK Channel live 1.1K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@AngesBleus45,PhK Connerie,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@kuninganmass,KuninganMass,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@AngesBleus45,PhK Et encore……,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@AngesBleus45,PhK Raus !!!,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@giginpraginanto,gigin praginanto Setiap pulang dari luar negeri gembar gembor bawa pulang investasi triliunan rupiah. Kenyataannya utang terus menggunung dan setiap tahun ratusan triliun rupiah dihabiskan untuk mencicil utang sementara badai tak kunjung reda. 3K PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@AngesBleus45,PhK La marche des pauvretés,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@PrinceHenry_PHK,"PRINCE HENRY KOFORIDUA Kwahu Business Forum 2026: 
Chief of Staff, Hon Julius Debrah delivering his opening remarks. Happy Easter Good Friday",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
19h,@lovhojichalatte,zie habis kena phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@jschln1,Gerald A Johnson phk phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@giyell,"rann - lain yg jual barang ngejar kuantity pokoknya harganya bener² murah & penjualannya bisa ribuan /hari omzetnya guede bgt, & yah skrg bangkrut. Keknya margin mereka sedikit entahlah pokoknya habis dapet surat cinta dari kantor pajak berakhir ga bisa bayar dan semua karyawannya phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@hiitszea,"zea aduhh relate bgt lagi, kmrn baru aja diremehin sm org terdekat, dibilang blablabla susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@xerotoninx,"naruru ica india yg mana pula yang

kerupuk doang sih... b eras mahal",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@LivePhk98733,PHK Channel live ตอนนี้ยังไม่จบเลยจ้าจุดรวมพลวุ่นวายมาก 7.3K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@SsPasadena,"Anti Premanisme ! Belasan Ribu Buruh di Jabar Terkena , Mayoritas Dari Industri Otomotif PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@LivePhk98733,PHK Channel live คนเยอะจริงเยอะทั้ง 2 ฝั่งเลย 14K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@LivePhk98733,PHK Channel live คนเยอะมากเพิร์ธแซนต้า 8.2K,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@tanpauangmuka,Tanpa Uang Muka Hak Karyawan: Cara Mengajukan Izin Sakit Rutin Tanpa Terancam (Pasien Cuci Darah) PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
20h,@nausicages,"iby jujur gw kesel bgt sama bentukan begini, ""jurusan yg paling worth it sekarang tu cuma ..... doang, jurusan lain bakal "" itu keluar dari mulut org yg bahkan ga ngerasain gimana survivenya KULIAH AJG susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@dbeaniebear,인 Padahal semua udh bilang.. nyatanya kita gada yg tau dibalik layar phk phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@Ganci_Karakter,"Gantungan Kunci Lucu Aku ex karyawan k0rb4n dan sekarang lagi bikin stok buat CFD hari Minggu nanti , dan sisanya buat stok di Sh0peee, , Ya Allah semoga rameee dan lariiis maniiiis amiiin PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@huntukapal,jaemin'sboo susah cari kerja susah cari kerja,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@febuaie,phk It’s time for you to fully take care of yourself and enjoy your own path,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@LuvLikeJesus24,"LiveLoveBACON Oh sake, it was France being a pussy as France always is phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@constantane,"tantan Bos pabrik mie instan indonesia harusnya berusaha jadi juru runding & damai antara Ukraina - Rusia, karena sebagian pasokan gandum nasional berasal dari sana",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@0n091,"nama tidak boleh kosong ya rugi lah org lombok sendiri merantau cari duit di tempat atau negara org ngapain beli rumah subsidi pakek kpr lagi...
lombok tuh makanya org sana pada merantau atau jd TKI
mikir yg apple to apple 
jawa di samain lombok susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@baseconvo,"baseconvo sender hbis kena dri pabrik trs mau mengaktifkan bpjs mandiri, terus pas udh segment jadi pekerja mandiri sama milih autodebit, keluar ini. maksudnya gimana ya? ada yg bisa menjelaskan? tia 1.2K phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
21h,@OverseasIndomie,"Overseas Indomie Cintai pekerjaanmu bukan tempatnya, sekarang company hobi cari celah akalin aturan dsb, kalo bisa buat multiple sumber penghasilan jangan hanya 1 selama kalian bisa komit kepada semuanya. PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@Yantoepedals,"Yantoe Ya sudah jelaskan ke saya bagaimana UMP bisa naik tanpa mengubah konsep yogya kota pelajar, tanpa merusak Cost-Push Inflation, tingkat yang tinggi. Coba jelaskan dengan kongkrit ya PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@nusabalicom,NusaBali.com Manajemen perbankan melalui jaringan layanan Agen BRILink memberikan klarifikasi terkait kasus dugaan penggelapan dana nasabah oleh oknum petugas agen di Kabupaten Karangasem yang saat ini tengah diproses secara hukum,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@BrokenSoulxy,Broken Souls Yes bitch I can you so long your fucking quivering and trembling under my body….   Like each stroke sets off a vibration. phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@segelascha,"Cha cha cha Iya kak. Jangan mau, mereka yg aja. phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@BrokenSoulxy,Broken Souls But real talk it felt so good to be back in the mode….  Because I was ready to a bitch so well did they get confused and overwhelmed… phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@mesatu_,"Media Sabtu Minggu Ini pengalaman gue yang baru mencairkan 100 persen JHT BPJS Ketenagakerjaan. Dapat Rp10 juta hasil 3 tahun kerja.

Lu bisa contoh tutorial ini kalau resign atau kena pemutusan hubungan kerja ( ). Dokumen yang harus disiapkan kurang lebih mirip.

- Kartu BPJS Ketenagakerjaan
- PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@wahidhasyim382,ONE Pantas di sini susah cari kerja,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@PHK25915425,PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@greenInkDiaries,"wid Next coba turunkan disini bin, biar embege ikutan distop juga harga sembako",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@dipeletmingyu,Cleo #vhdpqjclfemfla Phk Phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@PHK25915425,PHK That was a Good one,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@yanwarakhman,Aip belom apa-apa udah sewot. gimana yang gajinya 3juta suaminya di PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@AngesBleus45,"PhK Faut laisser faire 
Dans un an il est viré par les honnêtes gens ou alors c est le disney land des punks a chiens",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@meitakrina,"Mei Oh iya kak maaf 1 lagi. Kalau dari penjelasan kakak, harus ada pembuktian SP 3x baru bisa kan.
Memang aku sudah ada SP 3. Kalau memang SP 3 sudah keluar, tetap masih berhak uang kompensasi dan ganti rugi kan kak? Dan apakah jadi alasan perusahaan bisa suruh kita resign? PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@thorzuez,"sakit dikit lgsg itu tergantung PT, temen satu divisi saya dulu kerja dari awal pabrik berdiri sampe pensiun terus setelah pensiun dipanggil buat kerja lagi walau cuman jadi pegawai harian phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@scsuroso,"anti ngibul Prestasi gembrot 1,5 tahun berkuasa .. 
*Hutang bertambah besar
* bertambah besar
*ekonomi bertambah nyungsep
*korupsi bertambah besar nilainya
*penegakan hukum bertambah ketidakadilan nya
*bencana alam bertambah banyak
*pengangguran bertambah banyak PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
22h,@zszahrasavira,"Jujur baru tau, ternyata saldo JHT yang dipotong tiap bulan itu nggak bisa langsung cair 100% kalau kita masih kerja, meskipun lagi butuh duit darurat. Minimal harus nunggu usia pensiun atau kena /resign. Selama ini gue kira itu tabungan yang bisa ditarik kapan aja pas lagi PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@soobiniewifeu,"reren kurang bersyukur bgt, ngarepin gaji gede kalo gk punya pengalaman mah mending sadar diri nder. agak sakit hati baca ny, org org . ini pekara gaji aj gk mau ambil karna gk sesuai mau lu susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@ernirizki,"Your Big Sister Udah ga keitung berapa kali interview orang ga pernah lihat IPK maupun universitas.

Teknikal + behavior + logical thinking.

Ga pernah juga liat sejarah .

Uniknya beberapa kali intv lulusan LPDP ga pernah impressed dan ya ga lolos jadinya phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@_OFTL,Jesus Is King Shut the up phK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@IkaaPark,Ika Park 𔓘 Justru krna ini aku langsung di PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@Shangri14826900,Aggie Ona nie głosuje. Nie jest posłanką wywalił,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@djedjeandrea,"chubby Pertahankan rumah itu dengan gaji dibawah UMR Bogor, kondisi jomblo, 2 tahun kemudian di , rumahnya ditawarkan ke orang lain tapi orangnya berubah pikiran, di balikin ke temanku, akhirnya temanku malah jadi punya hutang. Kalau nggak balikin cicilan 1 tahun itu terancam di- PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
23h,@edeneric_grind,"Korek Gas Dan kalaupun amit2 kondisi harus kena . Jamsostek, dapen, dan pesangon gue udh sangat cukup untuk menutupi sisa pokok kredit rumah dan kendaraan phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@GlHindu,"HinduGL HRD — sekarang lebih familiar disebut HC — tugas utamanya adalah mikirin bagaimana agar karyawan kompeten, produktif dan bahagia.

Tapi mereka jg harus punya “plan B” yaitu , dan mereka harus berjuang ke management agar hak2 karyawan yg di-PHK dibayar.

HRD juga manusia. 1K PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@PHK25915425,PHK There is a reason,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@MIC____lunat1c,cosMICjester Pick your Wakandan governed utopia & off B00N PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@PrinceHenry_PHK,"PRINCE HENRY KOFORIDUA Happy Good Friday 
Happy Easter to you all on this awesome app.
May God continue to grant us healthy prosperous life #PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@MIC____lunat1c,cosMICjester PHK PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@LexMarteg,"Mar Teg Pantek Kaliannnnnn.....

Sedih banget kalok.ini beneran...
Seorang Mak emak di Bengkalis Riau nangis teriak""....katanya diusir dan di secara sepihak...
Dan haknya Ndak dibayar oleh PT Tumpuan 

Si Ketua paling Buruh dan Kemenakernya kemana nihhhh????? 56K PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@MIC____lunat1c,cosMICjester Feel free to off to Canada or Oz w/ the rest of the useful idiots ol pinko stinko hag PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@nikithinkeeds,ʙᴇᴇ idol sekarang pada kena phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@embah72,"Abah BIADAB TANPA ADAB...
Waktu eksekusi hukuman mati tahanan warga Palestina segera akan dilakukan Pihak Israel dgn berlakunya aturan baru di negara mereka.
Entah ini sbg bentuk tekanan kpd Iran krn selama ini Iran yg paling konsisten membela Palestina. phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@DakotaGeorgy,"Giggly Georgy Oracle: Tech giant slashes 30,000 jobs 
⁦ phk phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AA_bachtiar,Aam Jujur kena dapat pesangon PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@phksofttech,"Phk Softtech At Soft-Tech, we specialize in building dynamic and results-driven websites tailored to your unique business goals.
​ PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AngesBleus45,PhK St Denis bientôt le plus grand dépotoir de France,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AngesBleus45,PhK A,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@stockholicidn,"Stock Holic Perusahaan kendaraan listrik asal China, BYD, dilaporkan melakukan pemutusan hubungan kerja ( ) terhadap lebih dari 100 ribu karyawan sebagai bagian dari langkah efisiensi operasional.

Langkah ini dilakukan untuk menyesuaikan struktur biaya perusahaan di tengah dinamika PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@eskosong29,"eskosong memang ga begitu buruk, tp buruh pabrik jangkanwaktu kerjanya berapa lama? Dokter pns itu udh pensiun pun masih dpt duit, buruh pabrik? Sakit dikit aja lgsg di , blm lg klw kecelakaan kerja, auto gbs kerja lg dimanapun. phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AkuntanYeah,"CUMA AKUNTAN DOANG tapi memang sebaiknya gitu gak sih?

maksud gue kalo jadi deket sama kolega dan orang2 di kerjaan jadi akan sulit dan bias ketika harus ambil keputusan2 yang berpotensi konflik atau mengganggu pertemanan seperti bilang ke anak buah kalo dia kena kaya yang dialami para 3K PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@Adventurequ7676,"Adventure xyz Prlu transparansi dr si p'hutang (sblm wft) kpd klg'a bhw ia ada htg kpd ssorg. Mk htg tsb dibyrkn dr hrt pninggalan'a. Jk tdk mckpi, mk klg bsr'a menanggung bbn htg tsb. penagih jg tdk boleh zhalim dg menahan proses pnguburan jnzh. Biarlh mslh itu diselesaikn dg ahli waris. Phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@allmustbalance,"arkefallen.base.eth Yang kerja loyal gini aja tetep kena Wherever you work, you still have potential to be laid off PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@surkier,"sur Setau saya bisa.  Ada 2 opsi:
10% dari saldo — untuk persiapan pensiun (minimal kepesertaan 10 tahun)
30% dari saldo — khusus untuk pembiayaan rumah (KPR)
Syaratnya masih aktif bekerja dan kepesertaan minimal 10 tahun. Kalau mau cairkan lebih dari itu, harus sudah resign/ dulu PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@Rajendrap1078,Rajendra Patil (मोदीजी के परिवार से) ये हैं बंगाल की बुलंद आवाज ।,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@Adoringlyou,"Dfawk tepar soalnya bayar dlm kondisi pengangguran

emg lg merajalela phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@myfiltermoon,"minimi ⊙⊝⊜ Sedih banget, pamanku ternyata sekarang udah gak kerja lagi. Habis lebaran kemaren kena . Ya Allah... PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@s_mulyatie,Ibu Pertiwi Menangis https:// … PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@oposihhhhhhh,"siapaya dulu ngajuin resign dr kantor yang gajinya 2 digit (dua juta lebih dikit) dibilang sm hrd ""emg kamu lulusan smk mau jadi apa, aku aja yg s1 "" tp alhamdulillah skrg kerja di pt susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@wijayawilliam31,"William Wijaya | Bapak Microism Indonesia Gak cuma designer tapi semua industri yang terintegrasi dengan namanya komputasi.

Customer service, Admin Finance, Manajemen.

Belum kita perhitungkan chain reaction.

Customer Service (di ) -> Konsumsi rumah tangga berkurang -> Peredaran uang berkurang. PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@kanzakimituaki,サイクルショップカンザキ エバーレ店 クラシカルベル。いい音なります。【カンザキ/エバチャンネル】 …,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@PHK84R,PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AngkuKayo,Edri Fauzen Sekiranya ada bukan copot...copot...copot......nteklah PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@ilaliqo_,"bila Aku prinsip nomor satu, mamahku bilang mau sekaya apapun nanti pasangan kita sebagai perempuan harus tetap berpenghasilan. Karna kedepannya gk ada yg tau, entah ditengah jalan suami kita di , main wanita atau meninggal. phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@video_2424,"Video Info Diduga Terjadi Sepihak di PT Tumpuan, Hak Karyawan Tak Dibayar, Emak-Emak: ‘Pantek Kalian’ PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@tanyarlfes,Tanyarlfes sepertinya kita harus belajar teguh sama pendirian daripada baca omongan orang di sosmed. dari dulu baca postingan seleb twitter buat jangan resign karena . sampe sekarang aku ga resign tp kantorku makin gajelas aturannya dan aku hrs ke psikiater. 7.7K susah cari kerja,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@yourholmesss,"abay kerja aja niw, emang bener realitanya . susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@rogialami,"Gus Rogi Top sama smm ttep kena pengurangan jga om, cuma asmi ini yg paling kerasa ,sovel elektriknya udah diparkir bulan kemaren kayaknya , dan banyak yg di yg kontrak, tim sovel yg pkwtt sepertinya jga di rumahkan sebagian nunggu sampe akhir april . phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@Uncaseless,"UCL. Iya nih sebulan aja yah, biar ga bosen... soalnya bulan berikutnya kita massal dan jualan aldis burger bareng-bareng! Kalau kamu suka conan, coba deh nanti nonton criminal minds, itu seru lhoo... Puji syukur kalau semuanya udah kewajab ya adik! phk",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@ellisa_y00,Ellisa_y00 Aku udah ngalamin yg no. 1. Suami kena waktu pandemi. Alhamdulillah aku jg kerja. Jd kita g sampai kekurangan PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@GusdiR95076,Gusdiana Ridwansyah Dan apakah benar aturan untuk relawan yg sudah menginjak umur 50 tahun sekarang harus di . Dan ini pun terjadi di salah satu dapur MBG PHK,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@mas_veel,"Mas Veel Kabar baik, 5 hari yg lalu smpt naik signifikan, hari ini, mulai lbh baik.
Daging Ayam potong perhari ini sudah turun dr 38rb/kg jd 34rb/kg. 
Yg masih bertengger beras dn migor. mengendalikan harga keduanya ini mmg harus perang lawan mafia beras dn mafia CPO. 1K harga sembako",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@portaldoholanda,"Portal do Holanda Homem, ainda sem identidade revelada, foi abordado por agentes federais enquanto deixava a cidade em uma pick-up Amarok (placa -5099). 
Confira a matéria completa em PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@NenkMonica,"𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ ISU MASSAL PPPK GURU DAN TENAGA ADMINISTRASI, SEMENTARA REKRUITMEN PPPK SPPG MBG JUSTRU DIBUKA BESAR-BESARAN!

Ironi MBG, ketika PPPK Pemda yang sudah bekerja diberhentikan karena efisiensi, maka SPPG malah diangkat menjadi PPPK. Presiden Prabowo tidak punya keseimbangan 1.6K PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@lilies_fleurr,"lilies ; @ after dm | baca pin Ini mama ku pls. Ngeremehin jurusan org, mentang” ada anak temennya karna jurusan itu. Aku slalu marahin mama ku karna dia slalu gini 1.5K susah cari kerja",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@NenkMonica,"𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ ISU MASSAL PPPK GURU DAN TENAGA ADMINISTRASI, SEMENTARA REKRUITMEN PPPK SPPG MBG JUSTRU DIBUKA BESAR-BESARAN!

Ironi MBG, ketika PPPK Pemda yang sudah bekerja diberhentikan karena efisiensi, maka SPPG malah diangkat menjadi PPPK. Presiden Prabowo tidak punya keseimbangan PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@ichwanpersada,"Ichwan Persada | Film SOLATA Nobar 2026 PARK CHAN-WOOK DAN KRITIKNYA TERHADAP KAPITALISME YANG DINGIN
[dimuat di",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@GemariTematik,"gemari tematik Indonesia Kebayang banget sih posisi itu…
Udah kerja loyal, performa bagus, tiba-tiba di-PHK tanpa alasan jelas. Lebih parah lagi, cuma dikasih kompensasi 1x gaji, padahal secara aturan bisa lebih dari itu.",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@AriefRohman_838,"BUPATI BLORA Tahun depan di Kabupaten Blora tidak akan ada ASN PPPK. 
Anggaran gaji ASN PPPK sudah diperhitungkan. 

Teman-teman ASN PPPK tidak perlu resah, fokus kerja berikan pelayanan terbaik untuk masyarakat PHK",Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
Apr 3,@JaredWi24639698,Jared Wilson Phk Phk,Ekonomi & UMKM,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
